Common Name,Scientific Name,Asmt Year,Stock Assessment Area,Stock Status Area,Council,Council Abbv,FMP,Assessment Model,Assessment Model Type,Science Center Region,Rebuilding Program Status,SI.stock.boundaries,SI.data.prep,SI.model,SI.sci.advice,SI.other,NOAA.Region.Name,NMFS.Name,Ave.Metric.Tons_Commercial,Ave.Metric.Tons_Recreational,Ave.Dollars.Adj_Commercial,Ecological,Schooling,Max Length.m,Transboundary
Spanner crab,Ranina ranina,2019,Main Hawaiian Islands,Main Hawaiian Islands,Western Pacific Fisheries Management Council,WPFMC,Hawaii Archipelago Ecosystem,BSP,2,Pacific Islands,0,0,0,0,0,1,Hawaii,"CRAB, DECAPODA (ORDER)",4.076923,NA,53179.47,"demersal/benthic, piscivorous/omnivorous",0,0.15,1
Speckled hind,Epinephelus drummondhayi,2001,Southern Atlantic Coast,Southern Atlantic Coast,South Atlantic Fisheries Management Council,SAFMC,South Atlantic Snapper Grouper FMP,Catch Curve,1,Southeast,0,0,0,0,0,0,South Atlantic,"HIND, SPECKLED",0,0.125,441.261816,"demersal/benthic, piscivorous/omnivorous",0,1.1,1
Speckled rockfish,Sebastes ovalis,2010,Pacific Coast,Pacific Coast,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,DB-SRA,1,Northwest,0,0,0,0,0,0,Pacific Coast,"ROCKFISH, SPECKLED",0.40909091,8.473684,3141.31326,"demersal/benthic, piscivorous/omnivorous",0,0.56,1
Spiny dogfish,Squalus acanthias,2023,Atlantic Coast,Atlantic Coast,Mid-Atlantic Fisheries Management Council,NEFMC-MAFMC,Spiny Dogfish FMP,SS,4,Northeast,0,0,1,0,0,0,New England,"SHARK, DOGFISH, SPINY",3150.29167,44.95833,2034590.86,bathydemersal,0,1.6,1
Spiny dogfish,Squalus acanthias,2021,Pacific Coast,Pacific Coast,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,SS,4,Northwest,0,0,1,1,0,1,Pacific Coast,"SHARK, DOGFISH, SPINY",471.708333,2.8,218427.049,bathydemersal,0,1.6,1
Splitnose rockfish,Sebastes diploproa,2009,Pacific Coast,Pacific Coast,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,SS,4,Northwest,0,0,0,0,0,0,Pacific Coast,"ROCKFISH, SPLITNOSE",92.25,NA,56662.4697,bathydemersal,0,0.46,1
Spotcheek emperor,Lethrinus rubrioperculatus,2023,American Samoa,American Samoa,Western Pacific Fisheries Management Council,WPFMC,American Samoa Archipelago Ecosystem,SS,4,Pacific Islands,0,0,0,0,0,0,Hawaii,NA,NA,NA,NA,"reef-associated, piscivorous/omnivorous",0,0.57,1
Squarespot rockfish,Sebastes hopkinsi,2021,Pacific Coast,Pacific Coast,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,SS,4,Northwest,0,0,0,1,0,0,Pacific Coast,"ROCKFISH, SQUARESPOT",0.06666667,9.631579,943.086832,"reef-associated, piscivorous/omnivorous",0,0.29,1
Starry flounder,Platichthys stellatus,2017,Northern Pacific Coast,Pacific Coast,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,DB-SRA,1,"Northwest, Southwest",0,0,0,0,0,0,Pacific Coast,"FLOUNDER, STARRY",43.5833333,0.95,68105.4526,"demersal/benthic, piscivorous/omnivorous",0,0.91,1
Starry flounder,Platichthys stellatus,2017,Southern Pacific Coast,Pacific Coast,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,DB-SRA,1,"Northwest, Southwest",0,0,0,0,0,0,Pacific Coast,"FLOUNDER, STARRY",43.5833333,0.95,68105.4526,"demersal/benthic, piscivorous/omnivorous",0,0.91,1
