"","Common.Name","Scientific.Name","Stock.Assessment.Area","Stock.Status.Area","Council","Council.Abbv","FMP","Assessment.Model","Assessment.Model.Type","Science.Center.Region","Rebuilding.Program.Status","SI.stock.boundaries","SI.data.prep","SI.model","SI.sci.advice","SI.other","Spatially.Explict.Implict","NOAA.Region.Name","NMFS.Name","Ave.Metric.Tons_Commercial","Ave.Metric.Tons_Recreational","Ave.Dollars.Adj_Commercial","Ecological","Schooling","Max.Length.m","Transboundary","Fisheries.Dep.Only","PerTon_Ave.Dollars.Adj_Commercial","Mgmt.Council"
"1","Acadian redfish","Sebastes fasciatus","Gulf of Maine / Georges Bank","Gulf of Maine / Georges Bank","New England Fisheries Management Council","NEFMC","Northeast Multispecies FMP","ASAP",4,"Northeast",0,1,0,0,0,NA,"0","New England","REDFISH, ACADIAN",2667.375,42.45,4199688.83,"demersal/benthic, planktivorous",0,0.47,1,0,1574.46509395942,"New England"
"2","Alaska plaice","Pleuronectes quadrituberculatus","Bering Sea / Aleutian Islands","Bering Sea / Aleutian Islands","North Pacific Fisheries Management Council","NPFMC","Bering Sea/Aleutian Islands Groundfish FMP","Custom SCAA",4,"Alaska",0,0,0,0,0,0,"0","Alaska","Flatfishes",13909,NA,6288946.27,"demersal/benthic, piscivorous/omnivorous",0,0.87,1,0,452.14941908117,"North Pacific"
"3","Alaska skate","Bathyraja parmifera","Bering Sea / Aleutian Islands","Bering Sea / Aleutian Islands","North Pacific Fisheries Management Council","NPFMC","Bering Sea/Aleutian Islands Groundfish FMP","Custom SCAA",4,"Alaska",0,1,1,0,1,NA,"0","Alaska","Skates, Rajidae",8715.33,NA,3761333,"demersal/benthic, piscivorous/omnivorous",0,0.905,1,0,431.57665860042,"North Pacific"
"4","Albacore","Thunnus alalunga","North Atlantic","North Atlantic","Highly Migratory Species; International Convention for the Conservation of Atlantic Tuna","NOAA HMS-ICCAT","Atlantic/Gulf HMS FMP","SS",4,"ICCAT",0,1,1,0,0,0,"0","NOAA HMS, ICCAT","TUNA, ALBACORE",157.76,771.41,520821.22,"pelagic-oceanic, piscivorous/omnivorous",1,1.4,1,1,3301.35154665314,"International, Atlantic"
"5","Albacore","Thunnus alalunga","North Pacific","North Pacific","Pacific Fisheries Management Council; Pacific RFMO","PFMC-P-RFMO","U.S. West Coast Fisheries for Highly Migratory Species / Pacific Pelagic Fisheries of the Western Pacific Region Ecosystem","SS",4,"Southwest",0,1,1,1,1,NA,"1","Pacific Coast","TUNA, ALBACORE",10177.2083,544.381,37211230.6,"pelagic-oceanic, piscivorous/omnivorous",1,1.4,1,1,3656.3298601248,"International, Pacific"
"6","Albacore","Thunnus alalunga","South Pacific","South Pacific","Western Pacific Management Council; Pacific RFMO","WPFMC-P-RFMO","Pacific Pelagic Fisheries of the Western Pacific Region Ecosystem","Multifan-CL",4,"Pacific Islands",0,0,1,1,0,1,"2","Hawaii","TUNA, ALBACORE",294.692308,19.125,1496297.7,"pelagic-oceanic, piscivorous/omnivorous",1,1.4,1,1,5077.49153737667,"International, Pacific"
"7","American plaice","Hippoglossoides platessoides","Gulf of Maine / Georges Bank","Gulf of Maine / Georges Bank","New England Fisheries Management Council","NEFMC","Northeast Multispecies FMP","WHAM",5,"Northeast",0,0,1,0,0,0,"0","New England","FLOUNDER, AMERICAN PLAICE",1551.04167,NA,6969077.19,"demersal/benthic, piscivorous/omnivorous",0,0.826,1,0,4493.15922634109,"New England"
"8","Arrowtooth flounder","Reinhardtius stomias","Bering Sea / Aleutian Islands","Bering Sea / Aleutian Islands","North Pacific Fisheries Management Council","NPFMC","Bering Sea/Aleutian Islands Groundfish FMP","AMAK",4,"Alaska",0,0,0,1,0,1,"1","Alaska","FLOUNDER, ARROWTOOTH",26091.167,NA,7024923.9,"demersal/benthic, piscivorous/omnivorous",0,0.84,1,1,269.24529286099,"North Pacific"
"9","Arrowtooth flounder","Reinhardtius stomias","Gulf of Alaska","Gulf of Alaska","North Pacific Fisheries Management Council","NPFMC","Gulf of Alaska Groundfish FMP","Custom SCAA",4,"Alaska",0,0,0,0,1,1,"0","Alaska","FLOUNDER, ARROWTOOTH",26091.167,NA,7024923.9,"demersal/benthic, piscivorous/omnivorous",0,0.84,1,0,269.24529286099,"North Pacific"
"10","Arrowtooth flounder","Reinhardtius stomias (I think it should be Atheresthes stomias)","Pacific Coast","Pacific Coast","Pacific Fisheries Management Council","PFMC","Pacific Coast Groundfish FMP","SS",4,"Northwest",0,0,0,0,0,0,"0","Pacific Coast","FLOUNDER, ARROWTOOTH",1747.083,0.05,590919.4,"demersal/benthic, piscivorous/omnivorous",0,0.84,1,0,338.232013018271,"Pacific"
