Common Name,Scientific Name,Asmt Year,Stock Assessment Area,Stock Status Area,Council,Council Abbv,FMP,Assessment Model,Assessment Model Type,Science Center Region,Rebuilding Program Status,SI stock boundaries,SI data prep,SI model,SI sci advice,SI other,,,,,,,,,,,,
Atlantic salmon,Salmo salar,2022,Gulf of Maine,Gulf of Maine,New England Fisheries Management Council,NEFMC,Atlantic Salmon FMP,Index Method,2,Northeast,Rebuilding,,,,,,,,,,,,,,,,,
Thorny skate,Amblyraja radiata,2023,Gulf of Maine,Gulf of Maine,New England Fisheries Management Council,NEFMC,Skate Complex FMP,Index Method,2,Northeast,Rebuilding,,,,,,,,,,,,,,,,,
White hake,Urophycis tenuis,2022,Gulf of Maine / Georges Bank,Gulf of Maine / Georges Bank,New England Fisheries Management Council,NEFMC,Northeast Multispecies FMP,ASAP,4,Northeast,Rebuilding,,,,,,,,,,,,,,,,,
Winter flounder,Pseudopleuronectes americanus,2022,Georges Bank,Georges Bank,New England Fisheries Management Council,NEFMC,Northeast Multispecies FMP,ADAPT,3,Northeast,Rebuilding,,,,,,,,,,,,,,,,,
Yellowtail flounder,Limanda ferruginea,2023,Georges Bank,Georges Bank,New England Fisheries Management Council,NEFMC,Northeast Multispecies FMP,Index Method,2,Northeast,Rebuilding,,,,,,,,,,,,,,,,,
Longfin inshore squid,Loligo pealeii,2023,Georges Bank / Cape Hatteras,Georges Bank / Cape Hatteras,Mid-Atlantic Fisheries Management Council,MAFMC,"Mackerel, Squid, Butterfish FMP",Index Method,2,Northeast,,0,0,0,0,0,,,,,,,,,,,,
Scup,Stenotomus chrysops,2023,Atlantic Coast,Atlantic Coast,Mid-Atlantic Fisheries Management Council,MAFMC,"Mid-Atlantic Summer Flounder, Scup, Black Sea Bass FMP",ASAP,4,Northeast,,0,1,0,0,1,,,,,,,,,,,,
Summer flounder,Paralichthys dentatus,2023,Mid-Atlantic Coast,Mid-Atlantic Coast,Mid-Atlantic Fisheries Management Council,MAFMC,"Summer Flounder, Scup, Black Sea Bass FMP",ASAP,4,Northeast,,0,1,0,0,1,,,,,,,,,,,,
Black sea bass,Centropristis striata,2021,Mid-Atlantic Coast,Mid-Atlantic Coast,Mid-Atlantic Fisheries Management Council,MAFMC,"Summer Flounder, Scup, Black Sea Bass FMP",ASAP,4,Northeast,,1,1,1,0,0,,,,,,,,,,,,
Ocean quahog,Arctica islandica,2020,Atlantic Coast,Atlantic Coast,Mid-Atlantic Fisheries Management Council,MAFMC,Surfclams and Ocean Quahog FMP,SS,4,Northeast,,1,1,1,0,1,,,,,,,,,,,,
